package,version,age_days,age_human,last_publish,deprecated,deprecation_message,license,license_category,blue_oak_rating,commercial_use,patent_grant,repository_url,repository_stars,repository_open_issues,repository_last_commit,repository_archived,repository_health,downloads_weekly,downloads_monthly,downloads_trend,score_overall,score_rating,score_age,score_deprecation,score_license,score_vulnerability,score_popularity,score_repository,score_update_frequency,overall_severity,upgrade_available,latest_version,breaking_changes,upgrade_effort,alternative_1,alternative_1_reason,alternative_1_effort,alternative_2,alternative_2_reason,alternative_2_effort,recommendation_type,recommendation_priority,recommendation_message,recommendation_effort,recommendation_impact
moment,2.29.4,1247,"3 years 5 months",2022-07-06T10:23:45.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/moment/moment,47650,223,2023-04-15T08:12:33.000Z,false,good,15234567,62145890,stable,62,fair,60,100,100,85,95,85,40,warning,true,2.30.1,false,low,date-fns,"Modern, tree-shakeable, actively maintained",medium,dayjs,"Moment.js compatible API, smaller bundle",low,migration,medium,"Consider migrating to date-fns or native Temporal API",4-6 hours,"Bundle size reduction and better maintenance"
request,2.88.2,2058,"5 years 8 months",2020-04-21T14:32:18.000Z,true,"request has been deprecated, see https://github.com/request/request/issues/3142",Apache-2.0,commercial-friendly,gold,true,true,https://github.com/request/request,25634,548,2020-03-28T11:45:22.000Z,true,poor,8456234,34125678,declining,45,poor,20,0,100,60,70,50,0,critical,false,2.88.2,true,high,axios,"Promise-based, widely adopted, active maintenance",medium,got,"Lightweight, modern API, excellent TypeScript support",medium,replacement,high,"Replace with axios, got, or native fetch API",2-4 hours,"Security and long-term maintainability"
colors,1.4.0,835,"2 years 3 months",2022-10-15T09:15:33.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/Marak/colors.js,5178,42,2024-06-10T14:22:11.000Z,false,good,12345678,48765432,stable,71,good,70,100,100,90,85,75,60,warning,true,1.4.1,false,minimal,,,,,,,,update,low,"Update to latest version 1.4.1",< 1 hour,"Bug fixes and minor improvements"
zod,3.23.8,62,"2 months",2024-10-08T11:45:22.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/colinhacks/zod,35420,387,2024-12-01T16:33:45.000Z,false,excellent,18765432,76543210,growing,98,excellent,100,100,100,100,98,95,95,ok,false,3.23.8,false,none,,,,,,,,,,,,
typescript,5.7.2,31,"1 month",2024-11-08T18:22:11.000Z,false,,Apache-2.0,commercial-friendly,gold,true,true,https://github.com/microsoft/TypeScript,102345,5678,2024-12-05T10:15:33.000Z,false,excellent,45678901,187654321,growing,97,excellent,100,100,100,100,100,98,98,ok,false,5.7.2,false,none,,,,,,,,,,,,
vitest,4.0.15,21,"3 weeks",2024-11-18T09:30:22.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/vitest-dev/vitest,28543,234,2024-12-07T14:25:11.000Z,false,excellent,12345678,51234567,growing,96,excellent,100,100,100,100,95,96,93,ok,false,4.0.15,false,none,,,,,,,,,,,,
commander,12.1.0,122,"4 months",2024-08-08T16:45:33.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/tj/commander.js,28765,89,2024-11-15T10:20:45.000Z,false,excellent,8765432,35678901,stable,95,excellent,98,100,100,100,92,94,91,ok,false,12.1.0,false,none,,,,,,,,,,,,
chalk,5.3.0,244,"8 months",2024-04-10T12:15:22.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/chalk/chalk,23456,67,2024-10-22T09:33:12.000Z,false,excellent,23456789,95678432,stable,94,excellent,96,100,100,100,96,92,90,ok,false,5.3.0,false,none,,,,,,,,,,,,
semver,7.6.3,153,"5 months",2024-07-08T11:22:44.000Z,false,,ISC,commercial-friendly,gold,true,false,https://github.com/npm/node-semver,34567,45,2024-11-20T13:44:55.000Z,false,excellent,34567890,142345678,stable,93,excellent,97,100,100,100,95,91,88,ok,false,7.6.3,false,none,,,,,,,,,,,,
p-limit,6.1.0,183,"6 months",2024-06-08T14:33:22.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/sindresorhus/p-limit,6789,23,2024-10-15T15:22:33.000Z,false,excellent,6789012,28765432,stable,92,excellent,95,100,100,100,88,90,89,ok,false,6.1.0,false,none,,,,,,,,,,,,
cli-table3,0.6.5,274,"9 months",2024-03-08T10:11:45.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/cli-table/cli-table3,4567,34,2024-09-12T11:55:44.000Z,false,excellent,4567890,19876543,stable,91,excellent,93,100,100,100,85,89,87,ok,false,0.6.5,false,none,,,,,,,,,,,,
cosmiconfig,9.0.0,214,"7 months",2024-05-08T09:44:33.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/cosmiconfig/cosmiconfig,7890,29,2024-11-01T08:33:22.000Z,false,excellent,7890123,32456789,stable,90,excellent,94,100,100,100,87,88,86,ok,false,9.0.0,false,none,,,,,,,,,,,,
prompts,2.4.2,365,"1 year",2023-12-09T13:22:11.000Z,false,,MIT,commercial-friendly,gold,true,false,https://github.com/terkelg/prompts,5678,41,2024-08-22T10:44:22.000Z,false,good,5678901,23456789,stable,89,good,88,100,100,100,84,85,85,ok,false,2.4.2,false,none,,,,,,,,,,,,
